chr1	64091	74091	XLOC_000001	XLOC_000001	1	69091	70008	1	OR4F5	ENSG00000186092	protein_coding	69091	chr1:69090-70008	69090	70008	NOTEST	0.0	0.0	0.0	0.0	1.0	1.0	no
chr1	362640	372640	XLOC_000003	XLOC_000003	1	367640	368634	1	OR4F29	ENSG00000235249	protein_coding	367640	chr1:367658-368597	367658	368597	NOTEST	0.0	0.0	0.0	0.0	1.0	1.0	no
chr1	855260	865260	XLOC_000006	XLOC_000006	1	860260	879955	1	SAMD11	ENSG00000187634	protein_coding	860260	chr1:851135-917473	851135	917473	NOTEST	0.0888452	0.136965	0.624439	0.0	1.0	1.0	no
chr1	855260	865260	XLOC_000007	XLOC_000007	1	860260	879955	1	SAMD11	ENSG00000187634	protein_coding	860260	chr1:851135-917473	851135	917473	OK	4.04743	4.16567	0.041543	0.0707864	0.94475	0.999565	no
chr1	943803	953803	XLOC_000008	XLOC_000008	1	948803	949920	1	ISG15	ENSG00000187608	protein_coding	948803	chr1:948846-949919	948846	949919	OK	26.7934	30.2747	0.176232	0.797534	0.42445	0.999565	no
chr1	950503	960503	XLOC_000009	XLOC_000009	1	955503	991496	1	AGRN	ENSG00000188157	protein_coding	955503	chr1:955397-991570	955397	991570	OK	24.8548	23.2528	-0.0961199	-0.496265	0.61375	0.999565	no
chr1	1104264	1114264	XLOC_000014	XLOC_000014	1	1109264	1133315	1	TTLL10	ENSG00000162571	protein_coding	1109264	chr1:1109285-1133313	1109285	1133313	NOTEST	0.0	0.0	0.0	0.0	1.0	1.0	no
chr1	1162411	1172411	XLOC_000015	XLOC_000015	1	1152288	1167411	-1	SDF4	ENSG00000078808	protein_coding	1167411	chr1:1152280-1175955	1152280	1175955	OK	7.51023	7.59228	0.0156762	0.0267069	0.9773	0.999565	no
chr1	1177102	1187102	XLOC_000017	XLOC_000017	1	1177826	1182102	-1	FAM132A	ENSG00000184163	protein_coding	1182102	chr1:1177832-1185465	1177832	1185465	NOTEST	0.120855	0.0664459	-0.863025	0.0	1.0	1.0	no
chr1	1210816	1220816	XLOC_000018	XLOC_000018	1	1215816	1227409	1	SCNN1D	ENSG00000162572	protein_coding	1215816	chr1:1209396-1227409	1209396	1227409	OK	1.00624	1.07668	0.0976216	0.33467	0.72005	0.999565	no
chr1	1239989	1249989	XLOC_000019	XLOC_000019	1	1227756	1244989	-1	ACAP3	ENSG00000131584	protein_coding	1244989	chr1:1227622-1260070	1227622	1260070	OK	11.733	11.1411	-0.0746767	-0.12076	0.90295	0.999565	no
