item_name,train_loss_min,train_loss_avg,train_loss_max,train_acc_min,train_acc_avg,train_acc_max,train_auc_min,train_auc_avg,train_auc_max,val_loss_min,val_loss_avg,val_loss_max,val_acc_min,val_acc_avg,val_acc_max,val_auc_min,val_auc_avg,val_auc_max,test_acc_score,test_auc_score
H3K27ac-H3K27me3-H3K9ac-H3K4me3,0.4779,0.5054,0.6812,50.01,77.8909,79.42,0.5,0.7789,0.79,0.5198,0.5278,0.6589,49.99,77.0431,77.82,0.5,0.7706,0.78,76.76,0.77
H3K27me3-H3K4me3-H3K9ac-H3K27ac,0.481,0.5078,0.6867,50.01,77.7709,79.36,0.5,0.7783,0.79,0.52,0.528,0.669,49.99,77.0554,77.84,0.5,0.771,0.78,76.77,0.77
H3K27me3-H3K4me3-H3K27ac-H3K9ac,0.4823,0.5072,0.6857,50.01,77.8781,79.31,0.5,0.7793,0.79,0.5189,0.5269,0.6714,49.99,77.0512,77.78,0.5,0.7706,0.78,76.77,0.77
H3K27me3-H3K9ac-H3K4me3-H3K27ac,0.4801,0.5083,0.6817,59.78,78.1609,79.28,0.6,0.7816,0.79,0.5196,0.5279,0.6651,75.52,77.3845,77.93,0.76,0.775,0.78,76.8,0.77
H3K27me3-H3K9ac-H3K27ac-H3K4me3,0.4798,0.5061,0.6753,71.64,78.2156,79.31,0.72,0.7826,0.79,0.5204,0.5274,0.6504,75.61,77.2879,77.8,0.76,0.773,0.78,76.63,0.77
H3K27me3-H3K27ac-H3K4me3-H3K9ac,0.4802,0.5074,0.6739,74.24,78.1767,79.28,0.74,0.7824,0.79,0.5206,0.5281,0.6527,75.78,77.2392,77.86,0.76,0.7724,0.78,76.76,0.77
H3K27me3-H3K27ac-H3K9ac-H3K4me3,0.4783,0.5065,0.6703,50.55,77.9462,79.29,0.51,0.7796,0.79,0.521,0.5287,0.6444,74.34,77.2368,77.92,0.74,0.7721,0.78,76.7,0.77
H3K4me3-H3K9me3-H3K27ac-H3K27me3,0.4907,0.5134,0.6818,69.23,77.8723,78.77,0.69,0.7782,0.79,0.5188,0.5282,0.6668,76.22,77.3608,77.76,0.76,0.7757,0.78,77.16,0.77
H3K4me3-H3K9me3-H3K27me3-H3K27ac,0.4875,0.5126,0.6815,50.01,77.5803,78.81,0.5,0.7756,0.79,0.5208,0.5302,0.6653,49.99,76.9279,77.78,0.5,0.7699,0.78,76.96,0.77
H3K4me3-H3K27ac-H3K9me3-H3K27me3,0.4895,0.5142,0.6867,50.01,77.414,78.65,0.5,0.7737,0.79,0.5191,0.5291,0.6762,49.99,76.9485,77.78,0.5,0.7704,0.78,77.01,0.77
H3K4me3-H3K27ac-H3K27me3-H3K9me3,0.4915,0.516,0.6863,50.24,77.4693,78.71,0.5,0.7744,0.79,0.5202,0.531,0.6768,50.28,76.7855,77.67,0.5,0.7677,0.78,77.11,0.77
