item_name,train_loss_min,train_loss_avg,train_loss_max,train_acc_min,train_acc_avg,train_acc_max,train_auc_min,train_auc_avg,train_auc_max,val_loss_min,val_loss_avg,val_loss_max,val_acc_min,val_acc_avg,val_acc_max,val_auc_min,val_auc_avg,val_auc_max,test_acc_score,test_auc_score
H3K4me3-H3K27me3-H3K9me3,0.5086,0.5267,0.6877,50.01,76.241,77.23,0.5,0.7626,0.77,0.5315,0.5397,0.6763,49.99,75.894,76.68,0.5,0.759,0.77,75.82,0.76
H3K9me3-H3K4me3-H3K27me3,0.5075,0.5248,0.6841,53.43,76.427,77.36,0.53,0.7648,0.77,0.5316,0.5386,0.667,74.6,76.2018,76.75,0.75,0.7628,0.77,75.74,0.76
H3K9me3-H3K27me3-H3K4me3,0.5073,0.5246,0.6825,68.82,76.6744,77.29,0.69,0.7673,0.77,0.531,0.5385,0.6679,74.75,76.3373,76.86,0.75,0.7641,0.77,75.83,0.76
H3K27me3-H3K4me3-H3K9me3,0.5074,0.5239,0.6812,57.6,76.5114,77.31,0.58,0.7659,0.77,0.5313,0.5379,0.6625,74.39,76.2648,76.81,0.74,0.7626,0.77,75.71,0.76
H3K27me3-H3K9me3-H3K4me3,0.5043,0.5256,0.6776,70.32,76.6251,77.43,0.7,0.7658,0.77,0.5324,0.542,0.6618,73.67,76.0823,76.81,0.74,0.7612,0.77,75.7,0.76
H3K4me3-H3K27ac-H3K27me3,0.4894,0.5145,0.6819,71.54,77.8298,78.88,0.72,0.7785,0.79,0.5212,0.531,0.6667,75.65,77.0894,77.78,0.76,0.7711,0.78,77.01,0.77
H3K4me3-H3K27me3-H3K27ac,0.4873,0.5104,0.6832,58.81,77.8168,78.78,0.59,0.7782,0.79,0.5192,0.5276,0.6676,75.22,77.3456,77.85,0.75,0.7748,0.78,76.92,0.77
H3K27ac-H3K4me3-H3K27me3,0.4836,0.5103,0.6721,70.9,77.9484,78.89,0.71,0.7798,0.79,0.5216,0.5306,0.6496,74.95,77.1164,77.73,0.75,0.7718,0.78,77.05,0.77
H3K27ac-H3K27me3-H3K4me3,0.4883,0.5116,0.6831,60.13,77.8079,78.85,0.6,0.7783,0.79,0.5196,0.5282,0.6659,75.52,77.2612,77.88,0.76,0.7735,0.78,77.09,0.77
H3K27me3-H3K4me3-H3K27ac,0.4836,0.5082,0.6806,50.01,77.7633,78.93,0.5,0.7778,0.79,0.5205,0.5275,0.6583,70.73,77.2195,77.94,0.71,0.7733,0.78,77.04,0.77
H3K27me3-H3K27ac-H3K4me3,0.4834,0.508,0.6794,63.68,77.9526,78.93,0.64,0.7798,0.79,0.5196,0.5274,0.6598,75.36,77.3497,77.85,0.75,0.7749,0.78,77.08,0.77
H3K9ac-H3K9me3-H3K27ac,0.4948,0.5185,0.6836,63.71,77.8516,78.79,0.64,0.778,0.79,0.5237,0.5329,0.6697,75.91,77.2355,77.57,0.76,0.7702,0.78,76.63,0.77
H3K9ac-H3K27ac-H3K9me3,0.4909,0.5121,0.6716,50.01,77.8653,78.9,0.5,0.7789,0.79,0.5238,0.5299,0.6455,75.48,77.2726,77.58,0.75,0.77,0.78,76.76,0.77
H3K9me3-H3K9ac-H3K27ac,0.4945,0.5146,0.6777,70.78,78.0286,78.83,0.71,0.7802,0.79,0.523,0.53,0.6571,75.98,77.2582,77.59,0.76,0.7708,0.78,76.67,0.77
H3K9me3-H3K27ac-H3K9ac,0.4934,0.5141,0.6801,50.01,77.6977,78.88,0.5,0.7773,0.79,0.5224,0.5295,0.6608,49.99,77.1112,77.67,0.5,0.7726,0.78,76.85,0.77
H3K27ac-H3K9ac-H3K9me3,0.4936,0.5129,0.6747,65.55,78.0323,78.94,0.66,0.7803,0.79,0.5229,0.5293,0.6501,75.59,77.3173,77.61,0.76,0.7724,0.78,76.61,0.77
H3K27ac-H3K9me3-H3K9ac,0.4939,0.5167,0.6746,68.85,77.9521,78.89,0.69,0.7793,0.79,0.5242,0.5329,0.6566,75.49,77.1496,77.57,0.75,0.7687,0.78,76.82,0.77
H3K9ac-H3K9me3-H3K27me3,0.5026,0.5197,0.6827,71.52,77.4443,78.16,0.72,0.7748,0.78,0.5283,0.5348,0.6665,75.49,76.6495,77.05,0.75,0.768,0.77,75.71,0.76
H3K9ac-H3K27me3-H3K9me3,0.5037,0.5236,0.6885,50.02,77.0129,78.05,0.5,0.771,0.78,0.5276,0.5372,0.6808,50.07,76.462,77.12,0.5,0.7653,0.77,75.62,0.76
H3K9me3-H3K9ac-H3K27me3,0.5027,0.5227,0.6881,66.43,77.3291,78.13,0.66,0.7735,0.78,0.5279,0.537,0.6803,75.64,76.6899,77.09,0.76,0.7679,0.77,75.7,0.76
H3K9me3-H3K27me3-H3K9ac,0.5021,0.521,0.6862,51.1,77.1759,78.12,0.51,0.7724,0.78,0.5278,0.5364,0.6756,73.13,76.6691,77.09,0.73,0.7676,0.77,75.77,0.76
H3K27me3-H3K9ac-H3K9me3,0.5016,0.5215,0.6883,67.35,77.4029,78.17,0.67,0.7747,0.78,0.5277,0.5366,0.6798,75.55,76.6772,77.08,0.76,0.768,0.77,75.83,0.76
H3K27me3-H3K9me3-H3K9ac,0.5023,0.52,0.6791,68.64,77.405,78.04,0.69,0.7746,0.78,0.5288,0.5351,0.6581,75.41,76.6067,77.02,0.75,0.7676,0.77,75.66,0.76
H3K9ac-H3K27ac-H3K27me3,0.4894,0.5114,0.6819,50.05,77.7849,78.92,0.5,0.7775,0.79,0.5214,0.5288,0.6636,49.91,77.0286,77.63,0.5,0.7689,0.78,76.73,0.77
H3K9ac-H3K27me3-H3K27ac,0.4886,0.5119,0.6785,52.13,77.8706,79.01,0.52,0.7784,0.79,0.5217,0.5295,0.6587,73.16,77.2887,77.7,0.73,0.7732,0.78,76.69,0.77
H3K27ac-H3K9ac-H3K27me3,0.4857,0.5099,0.6716,54.89,78.0073,79.06,0.55,0.7804,0.79,0.5227,0.5288,0.6453,75.78,77.2645,77.57,0.76,0.7708,0.78,76.9,0.77
H3K27ac-H3K27me3-H3K9ac,0.4905,0.5116,0.684,50.01,77.7433,78.85,0.5,0.7774,0.79,0.5204,0.5272,0.6637,49.99,77.1174,77.76,0.5,0.7723,0.78,76.85,0.77
H3K27me3-H3K9ac-H3K27ac,0.4872,0.5133,0.6792,66.0,78.0013,79.06,0.66,0.7799,0.79,0.5217,0.5313,0.6616,75.76,77.2348,77.63,0.76,0.7715,0.78,76.82,0.77
H3K27me3-H3K27ac-H3K9ac,0.4875,0.5093,0.669,72.59,78.1449,78.93,0.73,0.7814,0.79,0.5208,0.5273,0.6418,75.9,77.3567,77.67,0.76,0.7742,0.78,76.69,0.77
H3K9me3-H3K27ac-H3K27me3,0.5077,0.5289,0.6873,50.22,76.9801,78.04,0.5,0.7702,0.78,0.5273,0.5388,0.6779,73.4,77.0568,77.65,0.73,0.7717,0.78,76.96,0.77
