model,seed,histone_marker,epochs_trained,val_accuracy,val_auc,test_accuracy,test_auc,test_aucprc,test_precision,test_recall,test_f1,antisymmetry
DirectRanker,1011,H3K4me3,39,71.0,0.78,71.5,0.8058,0.7919,0.6984,0.761,0.7283,0.888
LogisticRegression,1011,H3K4me3,,69.8,0.7644,71.8,0.7992,0.7801,0.7523,0.6534,0.6994,0.762
RandomForest,1011,H3K4me3,,70.4,0.7813,72.1,0.8057,0.7925,0.7528,0.6614,0.7041,0.767
SVM_Linear,1011,H3K4me3,,69.9,0.7636,71.7,0.801,0.7845,0.7506,0.6534,0.6986,0.76
DirectRanker,123,H3K4me3,60,74.1,0.83,71.6,0.8145,0.7966,0.6891,0.7703,0.7274,0.892
LogisticRegression,123,H3K4me3,,73.2,0.8167,72.5,0.7991,0.7796,0.7517,0.6585,0.7021,0.81
RandomForest,123,H3K4me3,,75.0,0.8348,72.9,0.8046,0.7991,0.7576,0.6606,0.7058,0.797
SVM_Linear,123,H3K4me3,,72.8,0.8174,73.0,0.7985,0.7797,0.7558,0.6667,0.7084,0.81
DirectRanker,42,H3K4me3,44,73.1,0.82,71.8,0.82,0.8099,0.6786,0.7859,0.7283,0.883
LogisticRegression,42,H3K4me3,,74.2,0.8065,74.4,0.8112,0.7985,0.7506,0.7006,0.7247,0.801
RandomForest,42,H3K4me3,,74.9,0.8145,75.2,0.8246,0.8067,0.7606,0.7069,0.7328,0.793
SVM_Linear,42,H3K4me3,,74.3,0.806,74.1,0.8125,0.7975,0.7456,0.7006,0.7224,0.795
DirectRanker,456,H3K4me3,70,73.7,0.83,70.0,0.7949,0.7873,0.6685,0.7593,0.711,0.876
LogisticRegression,456,H3K4me3,,75.6,0.8314,71.9,0.7894,0.7803,0.7378,0.6543,0.6936,0.802
RandomForest,456,H3K4me3,,75.3,0.835,73.1,0.8006,0.7652,0.7472,0.6749,0.7092,0.792
SVM_Linear,456,H3K4me3,,75.7,0.8332,72.0,0.791,0.7816,0.7395,0.6543,0.6943,0.807
DirectRanker,789,H3K4me3,31,70.6,0.79,72.2,0.8083,0.7942,0.6963,0.7932,0.7416,0.865
LogisticRegression,789,H3K4me3,,70.4,0.7737,72.2,0.7972,0.7819,0.7698,0.6382,0.6978,0.773
RandomForest,789,H3K4me3,,70.8,0.7875,73.3,0.8125,0.8094,0.7731,0.664,0.7144,0.784
SVM_Linear,789,H3K4me3,,70.8,0.7758,72.0,0.7984,0.7831,0.7674,0.6362,0.6957,0.77
DirectRanker,1011,H3K9ac,100,70.9,0.79,71.1,0.8147,0.7957,0.6784,0.8068,0.737,0.81
LogisticRegression,1011,H3K9ac,,69.6,0.7629,71.7,0.7918,0.7646,0.7772,0.6116,0.6845,0.729
RandomForest,1011,H3K9ac,,70.4,0.79,73.0,0.8206,0.803,0.7788,0.6454,0.7059,0.717
SVM_Linear,1011,H3K9ac,,69.9,0.7648,71.6,0.7968,0.7689,0.7753,0.6116,0.6837,0.738
DirectRanker,123,H3K9ac,100,73.7,0.83,72.1,0.8206,0.8066,0.6827,0.8089,0.7405,0.816
LogisticRegression,123,H3K9ac,,74.2,0.8082,71.1,0.7871,0.7558,0.757,0.6077,0.6742,0.722
RandomForest,123,H3K9ac,,76.3,0.8382,72.4,0.818,0.8197,0.7727,0.622,0.6892,0.746
SVM_Linear,123,H3K9ac,,73.8,0.8079,71.2,0.7884,0.7588,0.7615,0.6037,0.6735,0.722
DirectRanker,42,H3K9ac,100,71.1,0.82,71.1,0.8255,0.814,0.6616,0.817,0.7312,0.82
LogisticRegression,42,H3K9ac,,72.8,0.7853,74.2,0.8077,0.7735,0.7674,0.6653,0.7127,0.735
RandomForest,42,H3K9ac,,74.2,0.8105,73.9,0.8229,0.8127,0.7657,0.659,0.7084,0.727
SVM_Linear,42,H3K9ac,,72.6,0.7829,73.8,0.8079,0.7728,0.7639,0.659,0.7076,0.732
DirectRanker,456,H3K9ac,100,74.0,0.84,69.6,0.7978,0.7901,0.6548,0.7922,0.7169,0.813
LogisticRegression,456,H3K9ac,,75.5,0.8192,71.7,0.7779,0.7584,0.7557,0.6173,0.6795,0.742
RandomForest,456,H3K9ac,,76.4,0.8408,71.5,0.7843,0.7549,0.7519,0.6173,0.678,0.75
SVM_Linear,456,H3K9ac,,75.6,0.8187,71.8,0.7752,0.7566,0.7576,0.6173,0.6803,0.742
DirectRanker,789,H3K9ac,100,70.9,0.8,74.1,0.8265,0.7972,0.7061,0.831,0.7635,0.801
LogisticRegression,789,H3K9ac,,72.0,0.7784,72.5,0.8057,0.7715,0.7984,0.6064,0.6893,0.748
RandomForest,789,H3K9ac,,72.6,0.7954,73.4,0.8256,0.7982,0.8094,0.6163,0.6998,0.725
SVM_Linear,789,H3K9ac,,72.1,0.78,72.2,0.8064,0.7727,0.7922,0.6064,0.6869,0.747
DirectRanker,1011,H3K9me3,100,49.4,0.51,50.6,0.5152,0.5091,0.5042,0.9641,0.6621,0.09
LogisticRegression,1011,H3K9me3,,51.4,0.5013,50.5,0.5085,0.5146,0.5814,0.0498,0.0917,0.047
RandomForest,1011,H3K9me3,,52.3,0.5174,51.2,0.5212,0.5154,0.6842,0.0518,0.0963,0.064
SVM_Linear,1011,H3K9me3,,51.4,0.4968,50.5,0.5266,0.519,0.6522,0.0299,0.0571,0.03
DirectRanker,123,H3K9me3,100,50.9,0.52,51.0,0.5371,0.5225,0.501,0.9715,0.6611,0.091
LogisticRegression,123,H3K9me3,,50.2,0.5,50.4,0.489,0.4915,0.45,0.0366,0.0677,0.061
RandomForest,123,H3K9me3,,50.9,0.5212,51.8,0.5185,0.5093,0.6042,0.0589,0.1074,0.055
SVM_Linear,123,H3K9me3,,49.8,0.487,51.4,0.5047,0.5021,0.75,0.0183,0.0357,0.017
DirectRanker,42,H3K9me3,100,48.4,0.53,51.3,0.5501,0.525,0.4968,0.9771,0.6587,0.112
LogisticRegression,42,H3K9me3,,53.4,0.5033,51.4,0.5032,0.492,0.4648,0.0686,0.1196,0.063
RandomForest,42,H3K9me3,,54.3,0.5227,53.3,0.5423,0.5138,0.6346,0.0686,0.1238,0.096
SVM_Linear,42,H3K9me3,,53.5,0.4986,51.6,0.5097,0.4897,0.4595,0.0353,0.0656,0.035
DirectRanker,456,H3K9me3,100,49.4,0.53,51.9,0.5402,0.5066,0.5026,0.9794,0.6643,0.097
LogisticRegression,456,H3K9me3,,52.8,0.5098,50.5,0.5049,0.4894,0.4118,0.0432,0.0782,0.059
RandomForest,456,H3K9me3,,53.9,0.5314,52.3,0.5392,0.5056,0.6098,0.0514,0.0949,0.073
SVM_Linear,456,H3K9me3,,52.9,0.5157,50.9,0.5017,0.4899,0.4444,0.0412,0.0753,0.055
DirectRanker,789,H3K9me3,100,49.6,0.53,52.3,0.5332,0.5191,0.5136,0.9742,0.6726,0.091
LogisticRegression,789,H3K9me3,,51.8,0.495,49.9,0.5106,0.5142,0.5238,0.0437,0.0807,0.06
RandomForest,789,H3K9me3,,52.9,0.5137,51.0,0.53,0.5287,0.6444,0.0577,0.1058,0.068
SVM_Linear,789,H3K9me3,,52.6,0.5026,49.8,0.5012,0.513,0.5152,0.0338,0.0634,0.051
DirectRanker,1011,H3K27ac,39,70.1,0.77,72.3,0.8075,0.7902,0.695,0.7988,0.7433,0.859
LogisticRegression,1011,H3K27ac,,68.6,0.7564,72.4,0.7891,0.7589,0.7665,0.6474,0.7019,0.761
RandomForest,1011,H3K27ac,,69.8,0.7893,74.1,0.8259,0.8217,0.7806,0.6733,0.723,0.765
SVM_Linear,1011,H3K27ac,,68.5,0.7574,72.7,0.7925,0.7638,0.7694,0.6514,0.7055,0.766
DirectRanker,123,H3K27ac,100,72.8,0.83,72.0,0.8186,0.8061,0.686,0.7947,0.7363,0.863
LogisticRegression,123,H3K27ac,,73.3,0.7908,72.7,0.7957,0.7743,0.7626,0.6463,0.6997,0.745
RandomForest,123,H3K27ac,,74.1,0.8335,74.3,0.8205,0.8128,0.7818,0.6626,0.7173,0.796
SVM_Linear,123,H3K27ac,,72.7,0.7895,72.4,0.7951,0.774,0.7621,0.6382,0.6947,0.745
DirectRanker,42,H3K27ac,38,74.3,0.83,74.1,0.8338,0.8182,0.6961,0.8191,0.7526,0.868
