gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,value
ENSG00000163631,81,0,59,53,0,102156.0
ENSG00000257017,42,0,56,72,0,38313.3
ENSG00000110245,92,0,60,97,0,30359.8
ENSG00000130208,42,0,49,82,0,28759.1
ENSG00000158874,89,0,96,100,0,18798.6
ENSG00000125144,56,0,55,70,0,14293.0
ENSG00000197249,100,0,82,100,0,13011.1
ENSG00000118271,34,0,38,45,0,12747.6
ENSG00000171564,94,0,82,82,0,12742.3
ENSG00000091583,0,0,0,0,0,12373.3
ENSG00000125148,70,0,56,83,0,11990.4
ENSG00000118137,83,0,58,100,0,11482.9
ENSG00000087086,52,0,57,83,0,11303.2
ENSG00000138207,72,0,69,50,0,11259.2
ENSG00000229314,31,0,37,71,0,10000.5
ENSG00000234906,82,0,71,100,0,9708.62
ENSG00000106927,71,0,76,85,0,9674.11
ENSG00000171560,65,0,76,94,0,8683.04
ENSG00000171557,85,0,86,94,0,8270.37
ENSG00000136872,100,0,76,100,0,8052.54
ENSG00000187193,48,0,39,67,0,7929.1
ENSG00000228278,38,0,56,86,0,6541.23
ENSG00000145321,0,0,0,0,0,4854.94
ENSG00000109072,32,0,44,41,0,4667.77
ENSG00000160868,59,0,46,79,0,4547.59
ENSG00000224916,56,0,54,100,0,4238.76
ENSG00000117601,33,0,43,40,0,3975.21
ENSG00000145192,56,0,53,70,0,3610.64
ENSG00000125730,25,0,28,61,0,3516.38
ENSG00000169715,30,0,31,76,0,3463.61
ENSG00000110169,45,0,49,46,0,3014.54
ENSG00000243955,41,0,48,16,0,2964.81
ENSG00000198417,30,0,31,27,0,2922.63
ENSG00000132703,57,0,58,77,0,2851.79
ENSG00000134240,63,0,62,100,0,2510.19
ENSG00000170315,57,0,34,82,0,2432.71
ENSG00000166347,63,0,60,66,0,2420.34
ENSG00000198099,43,0,0,50,0,2301.19
ENSG00000205358,55,0,55,71,0,2299.23
ENSG00000133112,65,0,52,61,0,2234.8
ENSG00000244255,30,0,27,45,0,2156.28
ENSG00000089220,60,0,52,76,0,2139.07
ENSG00000149131,22,0,33,72,0,2120.65
ENSG00000091513,67,0,88,85,0,2060.71
ENSG00000142089,22,0,10,53,0,2059.55
ENSG00000250722,2,0,0,0,0,2009.03
ENSG00000130707,51,0,44,69,0,2003.63
ENSG00000214274,84,0,84,84,0,1997.74
ENSG00000163586,33,0,50,100,0,1996.32
ENSG00000130649,77,0,57,93,0,1994.25
ENSG00000169738,46,0,33,72,0,1962.56
ENSG00000196616,85,0,66,82,0,1905.79
ENSG00000205364,24,0,28,78,0,1824.85
ENSG00000111275,37,0,43,47,0,1788.57
ENSG00000120885,53,0,52,53,0,1767.72
ENSG00000198650,84,0,60,84,0,1755.29
ENSG00000165140,53,0,53,41,0,1744.61
ENSG00000130203,41,0,50,67,0,1695.41
ENSG00000113905,9,4,11,10,0,1688.81
ENSG00000146678,100,0,58,86,0,1683.33
ENSG00000196136,54,0,55,49,0,1660.55
ENSG00000166710,53,0,60,46,0,1610.44
ENSG00000160862,52,0,45,92,0,1610.33
ENSG00000123838,78,0,59,84,0,1593.95
ENSG00000135744,68,0,51,34,0,1547.12
ENSG00000166741,7,0,0,58,0,1541.28
ENSG00000105697,38,0,62,93,0,1485.71
ENSG00000187758,47,0,48,38,0,1467.4
ENSG00000255974,20,0,28,56,0,1465.9
ENSG00000198848,68,0,50,80,0,1451.89
ENSG00000121410,16,0,43,67,0,1423.63
ENSG00000167996,78,0,53,100,0,1422.08
ENSG00000243649,30,0,27,45,0,1415.91
ENSG00000184009,0,0,9,0,0,1398.56
ENSG00000180210,21,0,45,100,0,1396.98
ENSG00000167711,46,0,42,67,0,1380.8
ENSG00000104760,37,0,9,32,0,1368.47
ENSG00000113889,59,0,58,55,0,1356.41
ENSG00000142168,61,0,72,76,0,1293.54
ENSG00000167315,49,0,50,48,0,1284.4
ENSG00000151224,92,0,76,97,0,1278.09
ENSG00000075624,2,0,0,4,0,1225.7
ENSG00000080910,38,0,60,0,0,1141.71
ENSG00000158104,35,0,15,32,0,1140.96
ENSG00000113600,13,0,26,53,0,1139.85
ENSG00000159335,61,0,57,69,0,1119.76
ENSG00000138115,88,0,82,78,0,1117.46
ENSG00000055955,55,0,60,93,0,1113.71
ENSG00000151655,41,0,61,58,0,1091.92
ENSG00000159403,44,0,39,59,0,1086.91
ENSG00000148965,27,0,34,59,0,1076.25
ENSG00000110243,61,0,60,47,0,1072.96
ENSG00000145692,89,0,58,77,0,1060.06
ENSG00000080618,53,0,55,56,0,1059.91
ENSG00000055957,77,0,71,100,0,1026.95
ENSG00000257767,0,0,0,26,0,1026.89
ENSG00000131143,33,0,30,18,0,1011.75
ENSG00000132541,64,0,59,58,0,997.44
ENSG00000182326,0,0,0,3,0,995.629
ENSG00000127884,0,0,36,56,0,983.783
ENSG00000143819,51,0,37,50,0,969.672
ENSG00000124253,92,0,66,92,0,969.277
ENSG00000118520,45,0,44,53,0,951.575
ENSG00000156508,58,0,58,55,0,942.313
ENSG00000172482,57,0,46,65,0,940.492
ENSG00000175899,60,0,61,84,0,930.001
ENSG00000132386,30,0,29,56,0,916.484
ENSG00000214855,59,0,41,86,0,915.965
ENSG00000205542,95,0,77,97,0,907.993
ENSG00000034510,27,0,29,27,0,907.277
ENSG00000047457,94,0,80,100,0,897.174
ENSG00000106565,66,0,70,99,0,891.492
ENSG00000175003,72,5,57,77,0,878.054
ENSG00000141753,58,0,59,60,0,863.226
ENSG00000138109,62,0,70,63,0,862.466
