gene_id,H3K9ac_wc,H3K9me3_wc,H3K4me3_wc,H3K27ac_wc,H3K27me3_wc,value
ENSG00000009335,25,0,25,21,0,9.415
ENSG00000009413,50,0,36,39,0,2.559
ENSG00000009694,0,0,0,0,0,2.293
ENSG00000009709,0,0,0,0,54,0.0
ENSG00000009724,18,0,18,36,0,147.468
ENSG00000009765,8,0,19,26,0,7.561
ENSG00000009780,15,0,18,19,0,2.785
ENSG00000009790,4,0,17,29,0,1.042
ENSG00000009830,37,0,53,80,0,1.022
ENSG00000009844,24,0,26,12,0,17.67
ENSG00000009950,15,0,37,50,0,91.48
ENSG00000009954,28,0,22,30,0,16.216
ENSG00000010017,37,0,44,53,0,19.634
ENSG00000010030,23,0,19,17,0,0.648
ENSG00000010072,64,0,46,18,0,2.106
ENSG00000010165,20,0,22,18,0,9.214
ENSG00000010219,0,0,0,0,0,3.212
ENSG00000010244,28,0,37,17,0,8.822
ENSG00000010256,16,0,12,10,0,138.201
ENSG00000010270,18,0,15,28,0,6.874
ENSG00000010278,19,0,15,51,0,46.465
ENSG00000010282,0,0,0,0,0,0.216
ENSG00000010292,32,0,34,18,0,2.358
ENSG00000010295,20,0,19,53,0,4.802
ENSG00000010310,0,0,0,0,28,0.12
ENSG00000010318,39,0,32,32,0,2.251
ENSG00000010319,0,0,0,0,0,0.686
ENSG00000010322,32,0,17,27,0,7.715
ENSG00000010327,6,0,26,63,0,30.176
ENSG00000010361,28,0,35,37,0,6.381
ENSG00000010379,0,0,0,0,0,12.333
ENSG00000010404,0,0,0,0,0,12.479
ENSG00000010438,0,0,0,8,0,2.727
ENSG00000010539,15,7,45,18,0,2.43
ENSG00000010610,14,0,14,43,0,96.355
ENSG00000010626,37,0,24,32,0,2.155
ENSG00000010671,9,0,17,22,6,3.23
ENSG00000010704,19,0,16,21,0,4.758
ENSG00000010803,24,0,22,48,0,2.898
ENSG00000010810,19,0,29,26,0,10.495
ENSG00000010818,51,0,51,61,0,2.823
ENSG00000010932,10,0,11,3,0,0.03
ENSG00000011007,29,0,36,24,0,17.8
ENSG00000011009,10,0,16,34,0,36.675
ENSG00000011021,45,0,51,71,0,3.454
ENSG00000011028,0,1,3,19,3,2.894
ENSG00000011052,23,0,20,20,0,92.545
ENSG00000011083,0,0,0,12,8,0.024
ENSG00000011105,27,0,24,68,0,23.364
ENSG00000011114,32,0,45,40,0,2.286
ENSG00000011132,25,0,23,26,0,4.994
ENSG00000011143,12,0,18,11,0,2.809
ENSG00000011198,29,0,38,37,0,11.994
ENSG00000011201,0,0,4,0,37,0.319
ENSG00000011243,31,0,23,45,0,13.44
ENSG00000011258,25,0,46,44,0,4.907
ENSG00000011260,26,0,46,44,0,12.601
ENSG00000011275,16,0,13,14,0,5.139
ENSG00000011295,26,0,28,22,0,10.672
ENSG00000011304,47,0,49,73,0,51.041
ENSG00000011332,0,0,0,0,20,0.029
ENSG00000011347,0,0,14,4,0,8.235
ENSG00000011376,11,0,17,5,0,5.105
ENSG00000011405,24,0,25,33,0,6.67
ENSG00000011422,27,0,22,49,11,11.947
ENSG00000011426,15,0,11,18,11,0.451
ENSG00000011451,8,0,3,44,0,3.256
ENSG00000011454,22,0,19,26,0,3.5
ENSG00000011465,6,0,0,53,0,99.213
ENSG00000011478,28,0,27,23,0,3.696
ENSG00000011485,29,0,17,35,0,10.015
ENSG00000011523,4,0,24,26,0,1.697
ENSG00000011566,28,0,30,41,0,5.936
ENSG00000011590,0,0,12,0,0,0.099
